Generation;Max;Min;Mean
0;7.99E-07; 1.1956E-320;7.99E-09
1;7.99E-07;9.25E-220;8.00E-09
2;7.99E-07;1.19E-111;8.16E-09
3;7.99E-07;2.15E-100;8.20E-09
4;9.26E-04;7.39E-63;1.01E-05
5;9.26E-04;1.62E-52;1.01E-05
6;9.26E-04;7.68E-41;1.01E-05
7;9.26E-04;3.19E-29;1.02E-05
8;9.26E-04;8.87E-25;1.02E-05
9;9.26E-04;6.53E-24;1.02E-05
10;9.26E-04;1.10E-32;1.03E-05
11;9.26E-04;1.00E-21;1.56E-05
12;9.26E-04;5.64E-20;1.76E-05
13;9.26E-04;1.02E-17;2.22E-05
14;0.003009797;3.35E-17;5.32E-05
15;0.003009797;2.14E-15;6.25E-05
16;0.003009797;1.99E-15;6.71E-05
17;0.058479641;1.95E-22;7.33E-04
18;0.058479641;2.05E-16;8.25E-04
19;0.058479641;1.32E-10;8.65E-04
20;0.058479641;2.03E-12;0.00102589
21;0.071172998;3.53E-10;0.001899317
22;0.116111997;2.47E-09;0.004576353
23;0.116111997;1.30E-07;0.004976487
24;0.116111997;1.95E-07;0.006521693
25;0.116111997;1.08E-06;0.008294336
26;0.697652215;6.46E-06;0.016022239
27;0.697652215;1.01E-05;0.017771619
28;0.697652215;3.62E-08;0.025739486
29;0.697652215;3.91E-05;0.034545613
30;0.697652215;6.27E-05;0.041721733
31;0.697652215;6.27E-05;0.055070675
32;0.697652215;3.00E-09;0.063668215
33;1.43768327;1.48E-05;0.095115122
34;1.43768327;9.82E-05;0.100545104
35;2.980971901;0.001013712;0.164386834
36;4.92277864;0.001428461;0.283681946
37;4.92277864;4.20E-04;0.32853843
38;4.92277864;0.00156185;0.399656334
39;4.92277864;0.013139349;0.457401627
40;4.92277864;0.001857385;0.506434935
41;4.92277864;0.008449871;0.675983215
42;4.92277864;7.80E-05;0.76869194
43;4.92277864;0.03066992;0.874591607
44;4.92277864;0.034873884;1.018543637
45;4.92277864;0.096252442;1.079814127
46;6.713740079;0.104031676;1.285704551
47;6.713740079;0.104031676;1.458580304
48;6.713740079;0.160667161;1.652661635
49;6.713740079;0.003753904;1.803952267
50;6.713740079;0.308166328;1.911059104
51;6.713740079;0.346835448;2.197938708
52;6.713740079;0.153051402;2.521855462
53;6.713740079;0.690756839;2.770965341
54;6.713740079;0.547619306;2.918166494
55;6.713740079;0.369737561;3.065413603
56;7.172268947;0.369737561;3.202752733
57;7.172268947;0.724820948;3.360896343
58;7.172268947;0.724820948;3.509506206
59;7.172268947;0.416778031;3.657179651
60;7.172268947;0.359174775;3.742168298
61;7.172268947;1.007730503;3.922874166
62;8.22074255;1.105852161;4.131899285
63;8.22074255;1.598795953;4.34540503
64;8.579562412;1.750007587;4.56211305
65;8.579562412;1.969795556;4.698507453
66;8.579562412;1.929290715;4.897024798
67;8.579562412;1.929290715;5.066976185
68;8.579562412;1.618621682;5.10826794
69;8.579562412;1.846980461;5.229515531
70;8.579562412;1.992232821;5.339370524
71;8.942015165;2.016740513;5.578299831
72;8.579562412;1.993065127;5.583828528
73;9.18151677;2.052172601;5.818290532
74;9.18151677;0.028404359;5.869242486
75;9.18151677;0.349629479;5.986921177
76;9.18151677;3.149010776;6.178205819
77;9.18151677;3.149010776;6.261521297
78;9.18151677;0.68105956;6.248274777
79;9.18151677;2.968195843;6.400677744
80;9.18151677;2.968195843;6.545967208
81;9.18151677;2.311229374;6.655525145
82;9.18151677;4.359464816;6.825121016
83;9.18151677;3.831047919;6.967645367
84;9.18151677;1.068577446;6.900598416
85;9.18151677;1.448947267;6.861838181
86;9.18151677;0.401140056;6.981843776
87;9.18151677;0.524598752;6.805511745
88;9.18151677;1.342752475;6.909465503
89;9.18151677;1.442972759;7.126961554
90;9.18151677;2.42421694;7.191836495
91;9.18151677;2.456734495;7.206427515
92;9.18151677;3.290232954;7.29356063
93;9.18151677;3.503358996;7.407017744
94;9.18151677;1.530906604;7.235364302
95;9.18151677;3.378197811;7.363995186
96;9.18151677;3.507812604;7.437314602
97;9.18151677;3.507812604;7.508195747
98;9.18151677;0.439516895;7.512394658
99;9.18151677;4.835733517;7.616726671
100;9.18151677;2.220076696;7.64184199
101;9.18151677;4.301755281;7.704582714
102;9.18151677;2.57E-10;7.677599953
103;9.309484877;4.100561209;7.763220495
104;9.309484877;5.447779422;7.897641807
105;9.309484877;5.789815195;7.973575903
106;9.309484877;3.255540171;7.976160515
107;9.309484877;2.047738905;7.882387559
108;9.317808631;2.644309037;7.964567095
109;9.317808631;5.354284977;8.049926446
110;9.317808631;4.155439696;8.02216018
111;9.317808631;3.530406634;8.086123942
112;9.317808631;5.814757464;8.172635808
113;9.423072749;0.310745925;8.049539528
114;9.43647154;1.085029185;8.204937979
115;9.43647154;4.938475351;8.269590046
116;9.441888134;4.827962071;8.327954912
117;9.441888134;4.74213895;8.3158389
118;9.441888134;4.99949486;8.413663531
119;9.558710979;4.99949486;8.473233985
120;9.558710979;4.99949486;8.474807222
121;9.558710979;5.020744014;8.51678553
122;9.558710979;6.176693817;8.559421198
123;9.558710979;2.545787136;8.449955368
124;9.604854494;6.652557401;8.623784879
125;9.604854494;5.051792648;8.637797276
126;9.616033074;7.784464467;8.744252465
127;9.616033074;7.944275665;8.819110871
128;9.731470976;8.077949101;8.883793092
129;9.731470976;6.396865421;8.900815031
130;9.731470976;6.060359388;8.961014393
131;9.731470976;5.035636342;8.968057854
132;9.731470976;7.261134866;8.981387036
