Generation;Max;Min;Mean
0;5.86E-06;4.83E-208;5.86E-08
1;5.86E-06;3.03E-79;7.75E-08
2;0.006587554;2.09E-66;6.59E-05
3;0.080259844;8.81E-35;8.69E-04
4;1.041812406;2.17E-25;0.011327793
5;0.54730119;2.17E-25;0.006340248
6;0.54730119;9.59E-15;0.008819302
7;0.910278953;3.41E-13;0.030453561
8;0.910278953;7.73E-18;0.028477082
9;1.626995308;3.36E-17;0.050808155
10;1.264787257;6.44E-08;0.071363942
11;1.264787257;2.24E-05;0.087826453
12;2.105915652;1.82E-08;0.158843173
13;3.562088551;1.09E-04;0.364486216
14;5.814661804;7.60E-04;0.720106957
15;5.814661804;0.002118166;0.871479669
16;6.128420705;0.005585688;1.260676896
17;8.164804898;0.001181333;1.899885313
18;8.164804898;0.237409749;2.464030606
19;6.128420705;0.075056575;2.702191406
20;6.128420705;0.12706563;3.060252867
21;6.906466794;0.383242417;3.41558941
22;7.146898447;1.04697607;3.928590098
23;7.357336813;1.26E-07;4.311962583
24;8.107101789;1.076141596;4.968844167
25;8.107101789;2.046379193;5.387004701
26;8.276004659;0.849778673;5.780781736
27;8.276004659;2.50942783;5.956093737
28;8.638494835;1.569383032;6.277171414
29;8.638494835;3.748997424;6.727131774
30;9.05032922;2.762366555;6.934956247
31;8.972990809;4.244962632;7.264967083
32;9.3459676;4.643722775;7.470874259
33;9.3459676;4.87319516;7.757824348
34;9.465952786;2.841742466;8.140050786
35;9.763698303;6.961191103;8.544605825
36;9.69474073;7.025811086;8.713249688
37;9.69474073;5.496852938;8.789900111
38;9.69474073;6.267681261;8.936607357
39;9.69474073;7.023755473;9.074660528
40;9.747492858;7.023755473;9.125211775
41;9.769970489;7.766726193;9.236427308
42;9.784207474;8.042555793;9.357652142
43;9.827267278;8.807776915;9.467396879
44;9.827267278;8.807776915;9.49834296
45;9.872934654;7.092488751;9.465479236
46;9.872934654;8.9660319;9.594415909
47;9.872934654;8.9660319;9.653036179
48;9.914585057;9.380302416;9.696122075
49;9.914585057;9.482073511;9.754788162
50;9.914585057;8.782843403;9.757812536
51;9.914585057;9.572853014;9.786117927
52;9.914585057;9.670169665;9.816551836
53;9.923250185;9.505190301;9.828403522
54;9.923250185;9.486244439;9.836552826
55;9.923250185;9.672710916;9.84209832
56;9.940418391;9.713627933;9.85705606
57;9.930750008;9.673227164;9.859839246
58;9.942668919;9.602561533;9.875915998
59;9.942668919;9.777255744;9.886007895
60;9.949617617;9.752526369;9.891646192
61;9.949617617;9.767066111;9.900923935
62;9.949617617;9.767066111;9.903583875
63;9.961828694;9.811712352;9.912002103
64;9.957082134;9.759783337;9.914087833
65;9.957082134;9.756344619;9.916184463
66;9.957082134;9.833024655;9.919276454
67;9.961168546;9.879451429;9.927375113
68;9.964749323;9.746905676;9.931089448
69;9.964749323;9.883521534;9.936962616
70;9.968277222;9.850342851;9.940644328
71;9.971105452;9.850342851;9.945594498
72;9.971105452;9.9133709;9.949130939
73;9.973508168;9.869431436;9.952364203
74;9.973508168;9.909896961;9.954909328
75;9.976506531;9.92901718;9.959472566
76;9.976506531;9.922511362;9.961298048
77;9.976506531;9.94168218;9.964417094
78;9.978448603;9.941196022;9.965801782
79;9.978700578;9.953814041;9.968015173
80;9.97916267;9.941562823;9.969035232
81;9.97916267;9.946439567;9.970741244
82;9.979292041;9.92632065;9.970584611
83;9.979551531;9.959940637;9.973575419
84;9.979639708;9.938008447;9.973882082
85;9.979639708;9.951761697;9.974449065
86;9.979849219;9.96575205;9.975180077
87;9.979849219;9.964283136;9.976085261
88;9.981104155;9.968279137;9.976508117
89;9.981104155;9.971339548;9.976951021
90;9.981104155;9.968003271;9.976822555
91;9.981104155;9.968830298;9.977086496
92;9.981104155;9.969676222;9.977236502
93;9.981104155;9.948240586;9.977195947
94;9.981104155;9.972273364;9.977702265
95;9.981104155;9.971359793;9.978116885
96;9.981104155;9.971369434;9.978290249
97;9.981104155;9.974703608;9.978776988
98;9.981104155;9.973525763;9.979282389
