Generation;Max;Min;Mean
0;0.001355662; 1.49630854E-315;1.51E-05
1;0.001355662;1.03E-249;2.48E-05
2;0.001355662;3.28E-101;2.94E-05
3;0.081842848;2.58E-78;0.001820812
4;0.409087756;4.11E-41;0.007217846
5;1.03440035;1.85E-18;0.022955248
6;1.809244052;6.42E-14;0.060871114
7;1.809244052;8.19E-13;0.106374369
8;1.809244052;2.52E-11;0.135726615
9;2.25774503;1.63E-06;0.228009701
10;3.675442912;1.85E-04;0.401858718
11;4.559904996;4.31E-04;0.54955379
12;4.559904996;0.008065457;0.725220684
13;4.559904996;0.008065457;0.900941713
14;4.559904996;0.02544925;1.107271111
15;4.559904996;0.11385432;1.414322927
16;4.466354988;0.149171149;1.695290171
17;4.688826795;0.221003958;1.875588302
18;6.469577346;0.221003958;2.216876408
19;6.469577346;0.408115564;2.490891622
20;6.469577346;0.408115564;2.72389478
21;6.469577346;0.802017496;2.958848053
22;6.551133849;1.255185125;3.160591669
23;6.551133849;1.387303589;3.513094228
24;6.551133849;1.404812555;3.744964014
25;6.551133849;1.404812555;4.022678599
26;6.551133849;2.114878248;4.382437968
27;6.593831813;2.273227173;4.744419524
28;6.593831813;3.353811612;5.011485951
29;6.593831813;3.675442912;5.169931985
30;6.980875167;1.534297973;5.239817224
31;6.980875167;4.009414634;5.418665564
32;6.980875167;3.116775633;5.567403414
33;6.980875167;3.116775633;5.723752245
34;6.980875167;4.205439676;5.827957622
35;6.980875167;2.379064984;5.823985222
36;6.980875167;4.481017397;5.963448198
37;6.980875167;4.882109866;6.063467908
38;7.087620699;5.263657898;6.169151801
39;7.087620699;5.508540852;6.241222793
40;7.087620699;4.867251929;6.29077105
41;7.087620699;5.612241674;6.393223274
42;7.194852301;5.37266501;6.45082338
43;7.194852301;6.011488524;6.57824178
44;7.194852301;6.011488524;6.649308151
45;7.194852301;6.103895791;6.73511843
46;7.209520724;6.103895791;6.764265242
47;7.209520724;5.979044848;6.813447341
48;7.235656407;6.217693551;6.843391052
49;7.235656407;6.446649244;6.883804502
50;7.235656407;6.559369127;6.927393982
51;7.235656407;6.495989136;6.944520732
52;7.265749903;6.607143566;6.97566469
53;7.265749903;6.706740555;6.996882104
54;7.337931001;6.730927467;7.022869702
55;7.337931001;6.730927467;7.040527687
56;7.337931001;6.739183434;7.056396459
57;7.337931001;6.790281377;7.083416544
58;7.337931001;6.143508771;7.090797482
59;7.337931001;6.49525124;7.115237676
60;7.337931001;6.936097338;7.13359928
61;7.337931001;7.008378594;7.165625557
62;7.337931001;7.021294747;7.183880495
63;7.337931001;7.005863776;7.198089102
64;7.337931001;6.877564412;7.198908416
65;7.36682208;7.02219252;7.208454195
66;7.402127518;6.953750356;7.221937956
67;7.402127518;6.484527647;7.228198001
68;7.422617874;7.084789812;7.248065331
