Generation;Max;Min;Mean
0;1.54E-08;3.23E-75;1.54E-10
1;1.54E-08;1.52E-68;1.54E-10
2;2.76E-08;1.09E-59;4.30E-10
3;2.76E-08;1.58E-65;4.30E-10
4;2.76E-08;1.58E-65;4.31E-10
5;2.76E-08;1.33E-49;4.31E-10
6;2.76E-08;9.06E-51;4.31E-10
7;2.76E-08;2.77E-67;4.37E-10
8;2.76E-08;3.02E-67;4.37E-10
9;2.76E-08;4.29E-65;4.37E-10
10;2.76E-08;1.03E-64;4.37E-10
11;2.76E-08;2.07E-47;4.70E-10
12;2.76E-08;1.69E-71;4.70E-10
13;2.76E-08;1.10E-61;4.70E-10
14;2.76E-08;3.73E-53;4.70E-10
15;2.52E-07;1.13E-50;2.71E-09
16;2.52E-07;1.30E-64;4.23E-09
17;2.52E-07;1.30E-64;4.23E-09
18;2.52E-07;1.05E-50;4.23E-09
19;2.52E-07;2.24E-42;4.23E-09
20;2.52E-07;9.64E-58;4.23E-09
21;2.52E-07;3.15E-38;4.23E-09
22;2.52E-07;9.69E-50;4.23E-09
23;2.52E-07;1.17E-37;4.23E-09
24;2.52E-07;3.48E-48;4.23E-09
25;2.52E-07;1.91E-55;4.23E-09
26;2.52E-07;1.91E-55;4.27E-09
27;2.52E-07;1.10E-50;4.27E-09
28;2.52E-07;1.42E-45;4.27E-09
29;2.52E-07;1.42E-45;4.27E-09
30;2.52E-07;1.07E-44;4.27E-09
31;2.52E-07;8.45E-44;4.28E-09
32;2.52E-07;8.49E-62;4.28E-09
33;2.52E-07;1.17E-75;4.28E-09
34;2.52E-07;1.09E-61;4.28E-09
35;2.52E-07;2.82E-55;4.28E-09
36;2.52E-07;3.00E-54;4.28E-09
37;2.52E-07;3.00E-54;4.28E-09
38;2.52E-07;2.99E-52;4.28E-09
39;2.52E-07;2.99E-52;4.28E-09
40;2.52E-07;1.14E-54;4.28E-09
41;2.52E-07;4.85E-47;4.28E-09
42;2.52E-07;2.63E-45;4.28E-09
43;2.52E-07;1.34E-47;4.28E-09
44;2.52E-07;4.48E-51;4.28E-09
45;2.52E-07;2.87E-47;4.28E-09
46;2.52E-07;7.79E-48;4.28E-09
47;2.52E-07;4.77E-59;4.28E-09
48;2.52E-07;1.28E-46;4.28E-09
49;2.52E-07;6.80E-52;4.28E-09
50;2.52E-07;2.25E-59;6.19E-09
51;2.52E-07;1.48E-46;6.19E-09
52;2.52E-07;5.39E-47;6.20E-09
53;2.52E-07;2.85E-61;6.20E-09
54;2.52E-07;1.64E-70;6.26E-09
55;2.52E-07;3.56E-60;6.26E-09
56;2.52E-07;2.60E-60;6.26E-09
57;3.00E-05;5.63E-60;3.06E-07
58;3.00E-05;8.55E-51;3.06E-07
59;3.00E-05;1.10E-60;3.06E-07
60;3.00E-05;8.55E-51;3.06E-07
61;3.00E-05;5.64E-45;3.06E-07
62;3.00E-05;1.05E-49;3.06E-07
63;3.00E-05;8.81E-53;3.06E-07
64;3.00E-05;8.23E-64;3.06E-07
65;3.00E-05;8.81E-53;3.37E-07
66;3.00E-05;1.52E-42;3.67E-07
67;3.00E-05;1.93E-42;3.67E-07
68;3.00E-05;6.47E-39;3.67E-07
69;3.00E-05;5.59E-44;3.67E-07
70;3.00E-05;4.81E-59;3.67E-07
71;3.00E-05;6.03E-41;3.67E-07
72;3.00E-05;5.81E-51;3.67E-07
73;3.00E-05;2.35E-41;3.67E-07
74;3.00E-05;2.35E-41;3.67E-07
75;3.00E-05;7.14E-39;3.67E-07
76;3.00E-05;4.90E-40;3.67E-07
77;3.00E-05;4.41E-43;3.67E-07
78;3.00E-05;9.70E-57;3.67E-07
79;3.00E-05;1.31E-47;3.67E-07
80;3.00E-05;4.74E-71;3.67E-07
81;3.00E-05;5.19E-48;3.69E-07
82;3.00E-05;2.84E-56;3.69E-07
83;3.00E-05;4.27E-53;3.69E-07
84;3.00E-05;1.32E-48;3.69E-07
85;3.00E-05;5.32E-42;3.69E-07
86;3.00E-05;3.55E-59;3.68E-07
87;3.00E-05;3.20E-53;3.68E-07
88;3.00E-05;5.19E-47;3.69E-07
89;3.00E-05;1.11E-51;3.69E-07
90;3.00E-05;4.07E-50;3.69E-07
91;3.00E-05;6.26E-57;3.69E-07
92;3.00E-05;1.43E-65;3.69E-07
93;3.00E-05;5.72E-63;3.69E-07
94;3.00E-05;7.62E-57;3.69E-07
95;3.00E-05;1.87E-55;3.69E-07
96;3.00E-05;7.90E-55;3.69E-07
97;3.00E-05;5.90E-49;3.69E-07
98;3.00E-05;1.79E-58;3.69E-07
99;3.00E-05;1.79E-58;3.69E-07
100;3.00E-05;7.24E-58;3.69E-07
101;3.00E-05;3.65E-61;3.69E-07
102;3.00E-05;2.07E-56;3.69E-07
103;3.00E-05;9.60E-56;3.69E-07
104;3.00E-05;4.17E-55;3.69E-07
105;3.00E-05;4.17E-55;3.69E-07
106;3.00E-05;5.19E-58;3.69E-07
107;3.00E-05;5.43E-41;3.69E-07
108;3.00E-05;8.49E-71;3.69E-07
109;3.00E-05;2.80E-46;3.69E-07
110;3.00E-05;3.33E-44;3.69E-07
111;3.00E-05;5.34E-46;3.69E-07
112;3.00E-05;2.46E-51;3.69E-07
113;3.00E-05;2.46E-51;3.69E-07
114;3.00E-05;1.67E-54;3.69E-07
115;3.00E-05;5.29E-52;3.69E-07
116;3.00E-05;1.06E-71;3.69E-07
117;3.00E-05;3.38E-62;3.39E-07
118;3.00E-05;9.53E-49;3.39E-07
119;3.00E-05;3.73E-51;3.39E-07
120;3.00E-05;9.52E-47;3.39E-07
121;3.00E-05;4.17E-46;3.39E-07
122;3.00E-05;1.49E-41;3.39E-07
123;3.00E-05;1.53E-55;3.38E-07
124;3.00E-05;1.53E-55;3.38E-07
