Generation;Max;Min;Mean
0;8.92E-04;1.35E-77;8.92E-06
1;8.92E-04;7.92E-59;8.92E-06
2;8.92E-04;8.21E-63;8.92E-06
3;8.92E-04;3.17E-50;8.92E-06
4;8.92E-04;7.86E-70;8.92E-06
5;8.92E-04;1.53E-52;8.92E-06
6;8.92E-04;4.54E-51;8.92E-06
7;8.92E-04;3.21E-48;8.92E-06
8;8.92E-04;1.64E-56;8.92E-06
9;8.92E-04;4.99E-62;8.92E-06
10;8.92E-04;4.99E-62;8.92E-06
11;6.44E-10;1.23E-49;6.51E-12
12;2.14E-08;1.89E-48;2.21E-10
13;2.14E-08;2.11E-54;2.21E-10
14;2.86E-08;1.83E-50;5.07E-10
15;2.86E-08;1.83E-50;5.07E-10
16;2.86E-08;1.83E-50;5.07E-10
17;2.86E-08;4.53E-51;5.08E-10
18;2.86E-08;4.50E-40;5.08E-10
19;2.86E-08;6.84E-48;5.08E-10
20;2.86E-08;2.76E-64;5.08E-10
21;2.86E-08;4.79E-59;5.08E-10
22;2.86E-08;1.51E-66;5.08E-10
23;2.86E-08;2.87E-42;5.08E-10
24;2.86E-08;2.87E-42;5.08E-10
25;2.86E-08;1.16E-47;5.08E-10
26;2.86E-08;3.87E-57;5.08E-10
27;2.86E-08;1.61E-66;5.08E-10
28;2.86E-08;2.40E-45;5.08E-10
29;2.86E-08;1.59E-45;5.08E-10
30;2.86E-08;3.31E-44;5.08E-10
31;2.86E-08;2.66E-74;5.08E-10
32;2.86E-08;1.25E-66;5.08E-10
33;2.86E-08;1.90E-51;5.35E-10
34;2.03E-07;3.25E-46;2.57E-09
35;2.03E-07;7.39E-55;2.57E-09
36;2.03E-07;2.95E-39;2.57E-09
37;2.03E-07;7.46E-53;2.57E-09
38;2.03E-07;2.81E-63;2.58E-09
39;2.03E-07;3.96E-44;2.58E-09
40;2.03E-07;1.50E-64;2.58E-09
41;2.03E-07;1.68E-52;2.58E-09
42;2.03E-07;1.60E-54;2.58E-09
43;2.03E-07;2.07E-42;2.58E-09
44;2.03E-07;4.18E-53;2.58E-09
45;2.03E-07;5.89E-46;2.58E-09
46;2.03E-07;2.13E-48;2.58E-09
47;2.03E-07;3.07E-42;2.58E-09
48;2.03E-07;4.13E-42;2.58E-09
49;2.03E-07;5.03E-58;2.58E-09
50;2.03E-07;5.03E-53;2.58E-09
51;2.03E-07;1.10E-63;2.58E-09
52;2.03E-07;1.73E-57;2.58E-09
53;2.03E-07;1.08E-48;2.58E-09
54;2.03E-07;1.08E-48;2.58E-09
55;2.03E-07;5.16E-42;2.58E-09
56;2.03E-07;3.71E-51;2.58E-09
57;2.03E-07;4.71E-48;2.61E-09
58;2.03E-07;2.31E-65;2.61E-09
59;2.03E-07;3.07E-42;2.61E-09
60;2.03E-07;1.54E-65;2.61E-09
61;2.03E-07;5.30E-53;2.61E-09
62;2.03E-07;6.81E-77;2.66E-09
63;2.03E-07;1.28E-67;2.66E-09
64;2.03E-07;9.87E-50;2.66E-09
65;2.03E-07;1.01E-54;2.66E-09
66;2.03E-07;1.98E-57;2.66E-09
67;2.03E-07;1.01E-54;2.66E-09
68;2.03E-07;9.93E-49;2.66E-09
69;2.03E-07;3.07E-42;2.66E-09
70;2.03E-07;4.25E-72;2.66E-09
71;2.03E-07;1.40E-49;2.94E-09
72;2.03E-07;5.79E-50;2.94E-09
73;2.03E-07;5.79E-50;2.94E-09
74;2.03E-07;3.45E-44;2.94E-09
75;2.03E-07;3.07E-42;2.94E-09
76;2.03E-07;1.81E-52;2.94E-09
77;2.03E-07;1.81E-52;2.94E-09
78;2.03E-07;9.89E-51;2.94E-09
79;2.03E-07;1.47E-55;2.94E-09
80;2.03E-07;1.47E-55;2.94E-09
81;2.03E-07;3.50E-47;2.94E-09
82;2.03E-07;1.36E-49;2.94E-09
83;2.03E-07;4.04E-45;2.94E-09
84;2.03E-07;3.07E-42;2.95E-09
85;2.03E-07;5.37E-49;3.52E-09
86;2.03E-07;1.93E-50;3.52E-09
87;2.03E-07;2.66E-44;4.09E-09
88;2.03E-07;3.07E-42;4.38E-09
89;2.03E-07;1.04E-54;4.38E-09
90;2.03E-07;4.40E-54;4.67E-09
91;2.03E-07;3.07E-42;5.81E-09
92;2.03E-07;1.06E-62;6.38E-09
93;2.03E-07;3.74E-60;6.67E-09
94;2.03E-07;7.60E-42;8.10E-09
95;2.03E-07;3.17E-54;8.67E-09
96;2.03E-07;3.07E-42;9.43E-09
97;2.03E-07;3.12E-42;1.09E-08
98;2.03E-07;2.56E-47;1.35E-08
99;2.03E-07;3.07E-42;1.52E-08
100;2.03E-07;5.29E-31;1.86E-08
101;2.03E-07;7.75E-29;2.25E-08
102;2.03E-07;3.20E-37;2.54E-08
103;2.03E-07;3.07E-42;2.57E-08
104;2.03E-07;1.86E-34;2.72E-08
105;2.03E-07;1.56E-43;2.86E-08
106;2.03E-07;3.10E-42;2.97E-08
107;2.03E-07;3.10E-42;3.08E-08
108;2.03E-07;3.10E-42;3.11E-08
109;2.03E-07;2.85E-08;3.20E-08
110;2.03E-07;2.86E-08;3.21E-08
111;2.03E-07;3.07E-42;3.19E-08
112;2.03E-07;3.07E-42;3.20E-08
113;2.03E-07;3.09E-42;3.20E-08
114;2.03E-07;2.86E-08;3.23E-08
115;2.03E-07;3.07E-42;3.10E-08
116;2.03E-07;3.07E-42;3.10E-08
117;2.03E-07;2.87E-08;3.26E-08
118;2.03E-07;8.60E-22;3.25E-08
119;2.03E-07;5.69E-41;3.10E-08
120;2.03E-07;1.60E-11;3.24E-08
121;2.03E-07;2.88E-08;3.31E-08
122;2.03E-07;3.07E-42;3.24E-08
