Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;1.711253674997374E-4;2.67146181E-315;1.793826924249521E-6;9.17170554631158E-16;5.819266046827048E-16;5.0578908152489666
1;1.969554922456813E-4;2.0105466028016382E-120;5.092227046034319E-6;7.994592581301837E-16;3.318206634575846E-16;5.146753617862482
2;1.969554922456813E-4;2.907072526828155E-63;5.7500821630665454E-6;6.641472541193924E-16;4.4403751208133167E-16;5.272468626400373
3;6.585150398743863E-4;2.283543142430841E-59;1.3578934299769494E-5;9.41340812062297E-16;2.924247150587081E-16;5.3610112714852605
4;6.585150398743863E-4;7.858281092763814E-40;1.7651951881570057E-5;1.374031409953201E-15;3.283267564424707E-16;5.303440203945199
5;0.013948232496425291;5.565211794730359E-22;2.258600644117014E-4;1.2869515474137417E-15;4.141016542062745E-16;5.093993617441406
6;0.013948232496425291;1.1399261263817365E-16;3.092876919686228E-4;1.2250645780038238E-15;3.898068771680918E-16;5.32609256478331
7;0.013948232496425291;5.308987105051026E-13;5.032498614595781E-4;1.2889646283926057E-15;5.50960131012896E-16;5.336892361501935
8;0.013948232496425291;5.308987105051026E-13;8.102869938533068E-4;2.147752195058028E-15;3.3513762830507465E-16;5.195696846986631
9;0.33186779219366636;5.16341268037545E-11;0.004708284299377098;1.6094190606159262E-15;5.115586763563166E-16;5.279166918654882
10;0.33186779219366636;1.535220234688654E-8;0.00493241514532495;2.214040815943263E-15;3.866678440045423E-16;5.193902945399823
11;0.33186779219366636;1.789253209390683E-8;0.00503878552825763;1.2288518982445858E-15;4.623002535684146E-16;5.117932323395689
12;0.33186779219366636;2.9522164244117196E-8;0.007350975139225444;2.2067840810370795E-15;5.668604590970491E-16;5.142492839144788
13;0.33186779219366636;6.266314498439805E-7;0.008837258737991429;2.3870838099910987E-15;4.134403315635472E-16;5.048882224545152
14;0.33186779219366636;2.9529003286423365E-6;0.009448565386332956;1.5354063321488868E-15;4.2936359389759305E-16;5.280335013372416
15;0.33186779219366636;2.9529003286423365E-6;0.012770190120392117;1.6835597805464472E-15;4.636297864351176E-16;5.3210128623073665
16;0.33186779219366636;2.354361764812805E-5;0.019403212224332986;2.3223478068768633E-15;4.457161757507237E-16;5.145234129018875
17;0.33186779219366636;8.603447650129226E-10;0.021173499423807106;1.782628589111122E-15;3.078997949517154E-16;5.128092143616327
18;0.33186779219366636;2.395957440867497E-4;0.02479195019910652;1.9213903420537005E-15;4.256514574347268E-16;4.957153210726181
19;0.33186779219366636;2.0901225739969146E-5;0.02910652565952287;2.3780033842007555E-15;4.3454241227142205E-16;5.146233920073778
20;0.33186779219366636;2.4918136142553254E-7;0.03183001219684157;1.4176579697821143E-15;6.431678988232345E-16;5.150515800311538
21;0.33186779219366636;3.279957481870069E-4;0.0363678159709471;2.1470745991216542E-15;4.486981325457407E-16;5.210572318882889
22;0.33186779219366636;5.085158054524825E-4;0.04090824983211756;2.831692685291677E-15;3.1606475120439564E-16;5.2454485733372085
23;0.466190704388608;2.8235113579071156E-5;0.04724705083549816;1.2846668098735497E-15;4.703634963079788E-16;5.263511976008706
24;0.5738260760068083;6.373767755270551E-6;0.05154908349312831;1.5547562602618732E-15;5.013303161459373E-16;5.369607515018874
25;0.5738260760068083;4.7582804598903706E-7;0.05461347200152958;2.204899922145831E-15;5.457936342427131E-16;5.258529569045581
26;0.5738260760068083;1.402253094356952E-6;0.05746167166879423;1.853539201466559E-15;7.528796997651209E-16;5.185605250159797
