Generation;Max;Min;Mean
0;8.14E-09;1.09E-58;1.47E-10
1;8.14E-09;5.03E-57;1.47E-10
2;8.14E-09;1.71E-62;1.57E-10
3;8.14E-09;1.71E-62;1.57E-10
4;8.14E-09;2.13E-66;1.51E-10
5;8.14E-09;3.79E-67;1.84E-10
6;8.14E-09;2.51E-63;1.84E-10
7;8.14E-09;1.05E-60;1.84E-10
8;1.02E-06;1.34E-50;1.04E-08
9;1.02E-06;1.16E-61;1.04E-08
10;1.02E-06;1.48E-56;1.02E-08
11;1.02E-06;3.89E-59;1.02E-08
12;2.70E-09;6.23E-54;6.29E-11
13;2.70E-09;3.24E-58;7.18E-11
14;2.70E-09;1.50E-59;6.33E-11
15;2.70E-09;1.80E-68;6.33E-11
16;2.70E-09;8.41E-50;6.36E-11
17;2.70E-09;6.06E-63;2.76E-11
18;2.70E-09;1.50E-53;2.76E-11
19;2.70E-09;9.83E-60;2.88E-11
20;2.70E-09;8.32E-68;2.88E-11
21;2.70E-09;4.84E-63;2.91E-11
22;1.16E-07;1.51E-52;1.19E-09
23;1.16E-07;6.09E-54;1.81E-09
24;1.14E-07;6.98E-58;1.80E-09
25;1.14E-07;9.22E-59;1.80E-09
26;1.14E-07;5.31E-65;1.83E-09
27;1.05E-04;5.47E-65;1.05E-06
28;1.25E-05;1.06E-64;1.27E-07
29;1.25E-05;5.29E-62;1.26E-07
30;1.25E-05;1.21E-61;1.26E-07
31;1.14E-07;1.69E-58;1.24E-09
32;2.24E-07;1.52E-56;3.44E-09
33;1.14E-07;4.34E-60;1.18E-09
34;1.14E-07;6.34E-50;1.18E-09
35;2.28E-07;2.63E-62;3.43E-09
36;5.30E-06;7.50E-53;5.65E-08
37;5.30E-06;6.54E-66;5.53E-08
38;5.30E-06;1.47E-61;5.53E-08
39;5.30E-06;5.25E-71;5.53E-08
40;5.51E-09;1.35E-54;6.06E-11
41;4.89E-08;2.19E-77;5.47E-10
42;4.89E-08;6.50E-54;5.44E-10
