Generation;Max;Min;Mean
0;3.53E-08;9.47E-67;3.53E-10
1;3.53E-08;1.15E-58;3.53E-10
2;3.53E-08;2.47E-54;3.53E-10
3;5.43E-08;5.09E-50;8.96E-10
4;5.43E-08;7.85E-58;9.09E-10
5;5.43E-08;7.85E-58;9.09E-10
6;5.43E-08;2.61E-51;9.09E-10
7;5.43E-08;2.61E-51;9.09E-10
8;5.43E-08;1.25E-55;1.00E-09
9;2.20E-05;1.25E-55;2.24E-07
10;2.20E-05;1.02E-48;2.24E-07
11;2.20E-05;1.49E-41;2.24E-07
12;2.20E-05;1.49E-41;2.24E-07
13;2.20E-05;9.49E-60;2.24E-07
14;2.20E-05;1.70E-66;2.24E-07
15;2.20E-05;1.13E-52;2.24E-07
16;2.20E-05;8.36E-41;2.24E-07
17;2.20E-05;9.70E-48;2.24E-07
18;2.20E-05;1.81E-45;2.24E-07
19;2.20E-05;5.58E-65;2.24E-07
20;2.20E-05;8.12E-54;2.23E-07
21;2.20E-05;9.04E-64;2.23E-07
22;2.20E-05;7.30E-57;2.23E-07
23;2.20E-05;1.70E-47;2.23E-07
24;2.20E-05;4.17E-52;2.23E-07
25;2.20E-05;2.84E-42;2.23E-07
26;2.20E-05;3.69E-49;2.23E-07
27;2.20E-05;4.96E-51;2.23E-07
28;2.20E-05;8.60E-50;2.23E-07
29;2.20E-05;2.30E-49;2.23E-07
30;2.20E-05;6.77E-60;2.23E-07
31;2.20E-05;1.59E-49;2.23E-07
32;2.20E-05;1.59E-49;2.23E-07
33;2.20E-05;1.59E-49;2.23E-07
34;2.20E-05;1.59E-49;2.27E-07
35;2.20E-05;1.21E-44;2.27E-07
36;2.20E-05;1.94E-54;2.27E-07
37;2.20E-05;1.94E-54;2.27E-07
38;2.20E-05;3.28E-53;2.27E-07
39;2.20E-05;1.26E-54;2.27E-07
40;2.20E-05;2.47E-78;2.27E-07
41;2.20E-05;1.99E-62;2.27E-07
42;2.20E-05;8.49E-48;2.27E-07
43;2.20E-05;8.49E-48;2.27E-07
44;2.20E-05;3.53E-47;2.27E-07
45;2.20E-05;4.68E-43;2.28E-07
46;2.20E-05;3.53E-53;2.28E-07
47;3.61E-07;1.28E-45;7.07E-09
48;3.61E-07;6.51E-47;7.15E-09
49;3.61E-07;4.32E-57;7.15E-09
50;3.61E-07;2.66E-46;7.15E-09
51;3.61E-07;3.28E-44;7.15E-09
52;3.61E-07;9.45E-35;7.15E-09
53;2.33E-07;6.85E-57;3.51E-09
54;2.33E-07;1.73E-39;3.51E-09
55;2.33E-07;1.41E-70;3.51E-09
56;2.33E-07;3.34E-48;3.51E-09
57;2.33E-07;4.19E-45;3.51E-09
58;2.33E-07;5.63E-47;3.51E-09
59;2.33E-07;2.19E-45;3.52E-09
60;2.33E-07;8.47E-51;3.52E-09
61;5.89E-08;8.47E-51;1.18E-09
62;5.89E-08;5.49E-45;1.72E-09
63;5.89E-08;3.80E-58;1.72E-09
64;5.89E-08;8.95E-43;1.72E-09
65;5.89E-08;5.30E-53;1.72E-09
66;5.89E-08;4.16E-50;1.72E-09
67;5.89E-08;4.16E-50;1.72E-09
68;5.89E-08;2.11E-55;1.72E-09
69;5.89E-08;4.83E-58;1.72E-09
70;5.89E-08;4.30E-50;1.72E-09
71;5.89E-08;5.53E-62;1.72E-09
72;5.89E-08;1.52E-43;1.75E-09
73;5.89E-08;5.88E-45;1.75E-09
74;5.89E-08;2.17E-57;1.75E-09
75;5.89E-08;2.17E-57;1.75E-09
76;5.89E-08;2.55E-51;1.75E-09
77;5.89E-08;1.01E-52;1.75E-09
78;5.89E-08;1.16E-46;1.90E-09
79;5.89E-08;1.36E-42;1.90E-09
80;5.89E-08;2.86E-54;1.90E-09
81;5.89E-08;2.86E-54;1.90E-09
82;5.89E-08;2.86E-54;1.90E-09
83;5.89E-08;6.17E-48;1.90E-09
84;5.89E-08;6.17E-48;1.90E-09
85;5.89E-08;8.86E-60;1.90E-09
86;5.89E-08;2.30E-54;1.90E-09
87;5.89E-08;8.03E-41;1.90E-09
88;5.89E-08;2.49E-54;1.90E-09
89;5.89E-08;2.49E-54;1.91E-09
90;5.89E-08;4.60E-45;1.91E-09
91;5.89E-08;4.60E-45;1.91E-09
92;5.89E-08;1.27E-52;1.91E-09
93;5.89E-08;8.06E-53;1.90E-09
94;5.89E-08;1.43E-68;1.90E-09
95;5.89E-08;1.60E-67;1.90E-09
96;5.89E-08;3.45E-69;1.91E-09
97;2.59E-05;2.87E-44;2.63E-07
98;2.59E-05;2.24E-54;2.63E-07
99;2.59E-05;2.24E-54;2.63E-07
100;2.59E-05;1.26E-47;2.63E-07
101;2.59E-05;3.23E-60;2.63E-07
102;2.59E-05;6.70E-57;2.63E-07
103;2.59E-05;4.58E-61;2.63E-07
104;2.59E-05;5.89E-51;2.63E-07
105;2.59E-05;5.07E-56;2.63E-07
106;2.59E-05;1.78E-50;2.63E-07
107;2.59E-05;1.02E-65;2.63E-07
108;2.59E-05;6.79E-57;2.63E-07
109;2.59E-05;2.29E-48;2.63E-07
110;2.59E-05;2.20E-57;2.63E-07
111;2.59E-05;8.82E-71;2.63E-07
112;2.59E-05;7.29E-49;2.63E-07
113;2.59E-05;2.70E-48;2.63E-07
114;2.59E-05;1.99E-57;2.63E-07
115;2.59E-05;1.99E-57;2.78E-07
116;2.59E-05;3.74E-68;2.78E-07
