Generation;Max;Min;Mean
0;6.55E-12;7.22E-69;7.20E-14
1;6.55E-12;8.92E-63;7.20E-14
2;6.55E-12;1.24E-56;7.46E-14
3;6.55E-12;1.38E-60;7.89E-14
4;6.55E-12;2.69E-79;7.89E-14
5;6.55E-12;8.08E-49;7.89E-14
6;5.86E-09;3.59E-46;5.87E-11
7;5.86E-09;4.26E-71;5.87E-11
8;5.86E-09;1.63E-39;6.00E-11
9;5.86E-09;3.27E-51;8.95E-11
10;5.86E-09;7.34E-55;8.95E-11
11;5.86E-09;7.12E-58;8.95E-11
12;5.86E-09;3.07E-51;9.87E-11
13;5.86E-09;1.20E-53;9.87E-11
14;5.86E-09;4.55E-73;9.87E-11
15;5.86E-09;1.85E-44;9.87E-11
16;5.86E-09;5.79E-45;9.87E-11
17;5.86E-09;5.79E-45;9.87E-11
18;5.86E-09;1.72E-34;9.87E-11
19;1.54E-06;3.36E-41;1.55E-08
20;1.54E-06;4.17E-43;1.55E-08
21;1.54E-06;4.86E-47;1.55E-08
22;3.09E-06;3.50E-63;4.64E-08
23;3.09E-06;1.55E-46;4.64E-08
24;3.09E-06;1.28E-41;4.64E-08
25;3.09E-06;4.24E-61;4.64E-08
26;3.09E-06;9.43E-50;4.64E-08
27;3.09E-06;1.68E-43;4.64E-08
28;3.09E-06;2.59E-42;4.64E-08
29;3.09E-06;9.69E-47;4.64E-08
30;3.09E-06;2.86E-39;4.64E-08
31;3.09E-06;4.35E-60;4.64E-08
32;3.09E-06;7.22E-62;4.64E-08
33;3.09E-06;5.76E-46;4.64E-08
34;3.09E-06;3.77E-55;4.64E-08
35;3.09E-06;2.12E-63;4.64E-08
36;3.09E-06;5.76E-46;6.55E-08
37;3.09E-06;3.02E-48;6.55E-08
38;3.09E-06;2.25E-55;6.55E-08
39;3.09E-06;1.54E-36;6.55E-08
40;3.09E-06;3.50E-48;6.55E-08
41;3.09E-06;1.86E-60;6.55E-08
42;3.09E-06;1.03E-62;6.55E-08
43;3.09E-06;9.58E-56;6.55E-08
44;3.09E-06;9.69E-50;6.55E-08
45;3.09E-06;1.04E-60;6.55E-08
46;3.09E-06;5.14E-48;6.55E-08
47;3.09E-06;5.14E-48;6.55E-08
48;3.09E-06;1.37E-58;6.55E-08
49;3.09E-06;1.07E-44;6.55E-08
50;3.09E-06;1.00E-45;6.55E-08
51;3.09E-06;8.99E-51;6.55E-08
52;3.09E-06;1.80E-52;6.55E-08
53;3.09E-06;8.10E-48;6.55E-08
54;3.09E-06;1.89E-51;6.55E-08
55;3.09E-06;8.07E-50;6.55E-08
56;3.09E-06;1.05E-48;6.55E-08
57;3.09E-06;1.82E-47;6.55E-08
58;3.09E-06;2.42E-60;6.55E-08
59;3.09E-06;1.05E-54;6.55E-08
60;3.09E-06;1.05E-54;6.55E-08
61;3.09E-06;3.58E-60;6.55E-08
62;3.09E-06;2.47E-51;6.55E-08
63;3.09E-06;3.81E-60;6.55E-08
64;3.09E-06;7.16E-56;6.55E-08
65;3.09E-06;1.07E-50;6.55E-08
66;3.09E-06;4.73E-51;6.55E-08
67;3.09E-06;9.29E-37;6.61E-08
68;3.09E-06;5.92E-48;6.61E-08
69;3.09E-06;2.62E-52;6.61E-08
70;3.09E-06;1.63E-56;6.61E-08
71;3.09E-06;1.36E-45;6.61E-08
72;3.09E-06;3.55E-44;6.61E-08
73;3.09E-06;2.29E-43;6.61E-08
74;3.09E-06;5.25E-53;6.61E-08
75;3.09E-06;6.01E-48;6.61E-08
76;3.09E-06;3.52E-58;6.61E-08
77;3.09E-06;2.65E-55;6.61E-08
78;3.09E-06;3.84E-57;6.61E-08
79;3.09E-06;4.48E-52;6.61E-08
80;3.09E-06;6.07E-49;6.61E-08
81;3.09E-06;8.17E-57;6.61E-08
82;3.09E-06;1.35E-38;6.61E-08
83;3.09E-06;4.22E-44;6.61E-08
84;3.09E-06;2.16E-57;6.61E-08
85;3.09E-06;8.10E-54;6.61E-08
86;3.09E-06;6.89E-57;6.61E-08
87;3.09E-06;1.21E-72;6.61E-08
88;3.09E-06;4.45E-55;6.61E-08
89;3.09E-06;2.16E-51;6.61E-08
90;3.09E-06;3.06E-66;6.61E-08
91;3.09E-06;6.28E-50;6.81E-08
92;3.09E-06;4.60E-58;6.81E-08
93;3.09E-06;4.60E-58;6.81E-08
94;3.09E-06;1.30E-60;6.81E-08
95;3.09E-06;3.40E-43;6.81E-08
96;3.09E-06;5.37E-57;6.81E-08
97;3.09E-06;1.77E-51;6.81E-08
98;3.09E-06;1.83E-53;6.81E-08
99;3.96E-06;1.83E-53;1.08E-07
100;3.96E-06;4.15E-57;1.08E-07
101;3.96E-06;1.66E-48;1.08E-07
102;3.96E-06;6.42E-55;1.08E-07
103;3.96E-06;3.23E-46;1.08E-07
104;3.96E-06;3.49E-61;1.08E-07
105;3.96E-06;1.16E-45;1.08E-07
106;3.96E-06;5.42E-57;1.08E-07
107;3.96E-06;1.56E-60;1.08E-07
108;3.96E-06;1.56E-60;1.08E-07
109;3.96E-06;1.85E-45;1.08E-07
110;3.96E-06;1.85E-45;1.08E-07
111;3.96E-06;9.61E-52;1.08E-07
112;3.96E-06;1.14E-57;1.08E-07
113;3.96E-06;1.51E-54;1.08E-07
114;3.96E-06;1.94E-60;1.08E-07
115;3.96E-06;2.09E-40;1.08E-07
116;3.96E-06;1.14E-59;1.08E-07
117;3.96E-06;2.51E-48;1.08E-07
