Generation;Max;Min;Mean
0;9.31E-08;7.41E-216;1.98E-09
1;5.51E-07;5.44E-162;1.05E-08
2;5.51E-07;8.49E-120;1.16E-08
3;3.63E-06;1.29E-69;8.84E-08
4;7.96E-06;1.29E-69;1.70E-07
5;2.76E-04;2.38E-39;2.93E-06
6;2.76E-04;3.80E-33;2.96E-06
7;2.76E-04;1.05E-27;3.53E-06
8;2.76E-04;2.79E-27;3.57E-06
9;2.76E-04;4.53E-19;3.61E-06
10;2.76E-04;8.06E-17;3.68E-06
11;0.005263369;3.84E-14;5.75E-05
12;0.005263369;1.88E-18;6.20E-05
13;0.005263369;2.16E-12;9.23E-05
14;0.004917045;5.58E-12;9.19E-05
15;0.004917045;1.04E-10;9.69E-05
16;0.004917045;2.04E-09;1.13E-04
17;0.004917045;2.47E-09;1.31E-04
18;0.009713981;3.30E-08;2.65E-04
19;0.009713981;6.90E-08;3.41E-04
20;0.009713981;2.89E-08;3.71E-04
21;0.021692659;8.50E-09;6.49E-04
22;0.021692659;3.89E-07;7.65E-04
23;0.025416758;3.53E-06;0.001290134
24;0.03033748;8.61E-07;0.001632672
25;0.039988499;2.10E-06;0.002084423
26;0.039988499;4.23E-06;0.002191519
27;0.039988499;6.56E-06;0.002348481
28;0.064208932;3.90E-06;0.003732073
29;0.064208932;3.11E-07;0.003870581
30;0.064208932;1.27E-07;0.004105064
31;0.064208932;1.27E-07;0.004381742
32;0.064208932;7.12E-05;0.004889715
33;0.064208932;4.41E-05;0.005118633
34;0.064208932;1.94E-05;0.005007487
35;0.064208932;2.44E-06;0.005399609
36;0.091446419;2.44E-06;0.007786805
37;0.091446419;3.17E-04;0.008558827
38;0.091446419;3.11E-05;0.010318468
39;0.317665427;1.10E-04;0.016193413
40;0.317665427;1.10E-04;0.019431338
41;0.317665427;6.31E-04;0.022530121
42;0.317665427;8.03E-05;0.022978028
43;0.317665427;2.29E-05;0.02505817
44;0.317665427;1.42E-05;0.026538664
45;0.317665427;2.43E-04;0.029155114
46;0.325274402;4.84E-04;0.034575775
47;0.325274402;4.84E-04;0.035923806
48;0.325274402;4.84E-04;0.038280588
49;0.325274402;6.44E-04;0.040788023
50;0.325274402;8.80E-04;0.042397793
51;0.325274402;0.001000373;0.046795487
52;0.325274402;3.16E-04;0.047854178
53;0.369895042;0.002802;0.054122216
54;0.369895042;0.003111375;0.063399057
55;0.369895042;0.006181515;0.070530388
56;0.373760596;9.61E-04;0.079393256
57;0.373760596;0.008521013;0.089918181
58;0.373760596;9.23E-04;0.086987736
59;0.373760596;9.23E-04;0.089562348
60;0.599433187;0.002579374;0.097145839
61;0.599433187;2.61E-04;0.102235251
62;0.599433187;5.95E-04;0.112387954
63;0.599433187;0.003255628;0.116713886
64;1.17254817;9.07E-04;0.139107047
65;1.17254817;0.00142845;0.157819551
66;1.17254817;0.010527877;0.170095582
67;1.17254817;0.00519966;0.184525717
68;1.17254817;0.003296791;0.201079052
69;1.17254817;0.002406151;0.202724964
70;1.17254817;0.028024129;0.231351932
71;1.17254817;0.028024129;0.249977204
72;1.178754097;0.005602088;0.284048964
73;1.178754097;0.006003497;0.298526004
74;1.178754097;0.006548819;0.306138694
75;1.2778341;0.006548819;0.325735303
76;1.717679726;0.009751323;0.363162338
77;1.717679726;0.004134996;0.379700134
78;1.717679726;0.009751323;0.388348146
79;1.717679726;0.002846878;0.402947365
80;1.717679726;0.002846878;0.430819418
81;1.717679726;4.51E-18;0.439208777
82;1.717679726;0.031388708;0.444151291
83;1.717679726;0.013849185;0.460719358
84;1.717679726;0.031388708;0.47537529
85;1.717679726;0.031388708;0.477668222
86;1.717679726;0.058316737;0.499126836
87;1.717679726;0.002759529;0.523312055
88;1.717679726;0.006509401;0.530464462
89;1.884826113;0.077120218;0.586655056
90;1.884826113;0.006466743;0.595370863
91;2.303773016;0.005419171;0.656680949
92;2.303773016;0.063473383;0.677793137
93;2.303773016;0.171142671;0.696727369
94;2.303773016;0.025235466;0.695891128
95;2.303773016;0.171142671;0.742631375
96;2.736832191;0.173923871;0.806081891
97;2.736832191;0.04840865;0.82993741
98;2.736832191;0.268608572;0.87847829
99;2.736832191;0.032395587;0.90489102
100;2.768252151;0.032395587;0.942520817
101;2.768252151;0.073661141;0.99185197
102;2.768252151;0.11379864;1.000102235
103;2.768252151;0.058997948;0.998147976
104;2.768252151;0.084471191;1.05841725
105;2.768252151;0.094464114;1.053969086
106;2.768252151;0.022796977;1.069702429
107;2.768252151;0.094464114;1.111136301
108;2.768252151;0.143577817;1.13365113
109;2.768252151;0.117751528;1.140454353
110;2.768252151;0.15251643;1.159119855
111;2.768252151;0.15251643;1.175874471
112;3.688202173;0.13288188;1.193450999
113;3.688202173;0.15251643;1.257473917
114;3.688202173;0.129226361;1.298421243
115;3.688202173;0.056548312;1.328940217
116;3.688202173;0.13528508;1.313825562
117;3.688202173;0.13528508;1.377664033
118;3.688202173;0.079435363;1.375274893
119;3.688202173;0.332089024;1.395804201
120;3.688202173;0.1431826;1.375270428
121;3.688202173;0.332089024;1.440793488
122;3.688202173;0.45342347;1.456937803
123;3.688202173;0.195960757;1.485779558
124;3.688202173;0.046528682;1.491407747
125;3.688202173;0.191745655;1.482427423
126;3.688202173;0.408913761;1.530692392
127;3.688202173;0.120233057;1.514265407
128;3.688202173;0.091733906;1.522713966
129;3.688202173;0.312130667;1.564730321
130;3.688202173;0.191858088;1.578332744
131;3.688202173;0.191858088;1.605375086
132;3.688202173;0.029025916;1.638175432
133;3.688202173;0.11583157;1.677914165
134;3.688202173;0.088769352;1.704123878
135;3.688202173;0.225660303;1.761019428
136;3.688202173;0.093405722;1.714947133
137;3.688202173;0.177378559;1.762372506
138;3.688202173;0.262383796;1.761328361
139;3.688202173;0.156898;1.773556944
140;3.688202173;0.331450228;1.782906983
141;3.688202173;0.152637746;1.77785532
142;3.688202173;0.1943198;1.855429775
143;4.013725096;0.01006364;1.920294523
144;4.013725096;0.348542368;1.960081868
145;4.013725096;0.195979009;1.905978582
146;4.013725096;0.199217055;1.961915442
147;4.013725096;0.355248325;1.948716144
148;4.013725096;0.345788542;1.952176973
149;4.013725096;0.37602412;1.952018129
150;4.013725096;0.016250395;1.961061583
151;4.013725096;0.218073719;1.97391376
152;4.013725096;0.396072597;1.988030906
153;4.013725096;0.090908373;2.002041843
154;4.013725096;0.144539429;1.980486367
155;4.013725096;0.46835777;2.002167316
156;4.013725096;0.46835777;2.051399984
157;4.013725096;0.338803171;2.113170817
158;4.013725096;0.612374287;2.098991246
159;4.666842646;0.196015568;2.115988164
160;4.666842646;0.305754447;2.130907903
161;4.666842646;0.428041573;2.169464158
162;4.666842646;0.253517709;2.17798202
163;4.666842646;0.328086452;2.216568138
164;4.666842646;0.360283761;2.242737382
165;4.666842646;0.038532695;2.229873929
166;4.666842646;0.099738592;2.271622635
167;4.666842646;0.294567277;2.371318674
168;4.666842646;0.193040278;2.366604105
169;4.666842646;0.15574912;2.347754721
170;4.666842646;4.51E-18;2.280072404
171;4.666842646;0.03594012;2.318861876
172;4.666842646;0.294899239;2.276903599
173;4.666842646;0.043983459;2.280252903
174;4.666842646;0.106891836;2.363478554
175;4.666842646;0.18129804;2.398113354
176;4.666842646;0.457669761;2.429894261
177;4.666842646;0.457669761;2.484529078
178;4.666842646;0.457669761;2.515455042
179;4.666842646;0.399760369;2.578643981
180;4.666842646;0.605033267;2.589994103
181;4.666842646;0.605033267;2.628633297
182;5.352026826;0.224584361;2.673913245
183;5.352026826;0.449437446;2.643944225
184;5.352026826;0.805321325;2.661192912
185;5.357312512;0.426567753;2.706646572
186;5.357312512;0.879466114;2.790898505
