Generation;Max;Min;Mean
0;1.86E-04;9.37E-139;2.81E-06
1;1.86E-04;3.47E-111;2.67E-06
2;1.86E-04;9.35E-41;4.63E-06
3;0.002795961;2.69E-33;4.08E-05
4;0.006260591;2.88E-27;1.54E-04
5;0.006260591;1.62E-13;1.97E-04
6;0.021358648;4.31E-11;5.12E-04
7;0.029354074;4.31E-11;9.60E-04
8;0.090441145;1.22E-09;0.002870834
9;0.090441145;9.32E-10;0.004034493
10;0.170631201;4.36E-07;0.006207891
11;0.170631201;4.01E-07;0.010589823
12;0.170631201;2.33E-07;0.013175517
13;0.170631201;1.49E-05;0.012125554
14;1.261970515;6.50E-06;0.024434715
15;1.261970515;4.37E-08;0.032866908
16;1.261970515;3.28E-07;0.03782127
17;0.530872285;1.23E-06;0.027090648
18;0.198156013;3.71E-05;0.029426952
19;0.445990203;7.73E-08;0.039031197
20;0.45658295;3.15E-05;0.048070092
21;0.986953014;7.37E-09;0.066003061
22;0.986953014;8.36E-07;0.07175958
23;0.762843901;2.05E-05;0.098475277
24;0.762843901;3.07E-04;0.113990176
25;0.762843901;0.00126515;0.112223883
26;0.762843901;1.65E-07;0.122874061
27;0.784016953;5.86E-06;0.175348002
28;0.620598801;0.009325285;0.152244785
29;1.902498517;0.022803784;0.213232189
30;1.902498517;1.19E-04;0.246149529
31;1.902498517;0.01054442;0.294551582
32;1.778743139;0.006322437;0.315483389
33;1.778743139;5.86E-04;0.332075499
34;2.190807157;0.022012076;0.354683665
35;2.190807157;0.008895053;0.394184153
36;2.543182272;0.014346521;0.44718605
37;2.543182272;0.004095975;0.451283273
38;2.866850003;0.008487569;0.510626294
39;3.414826164;0.034629256;0.623680391
40;3.414826164;0.02922411;0.684615323
41;3.414826164;0.079990661;0.825301224
42;3.414826164;0.116622592;0.899955939
43;3.414826164;0.019241589;0.949213044
44;3.414826164;0.032314027;1.078069787
45;4.103902011;0.244102298;1.256923682
46;4.103902011;0.153012245;1.382794843
47;3.73886162;4.51E-18;1.439998471
48;3.73886162;0.037114734;1.525626039
49;3.535196966;0.285284347;1.655991627
50;3.718422968;0.132481668;1.739310594
51;3.837763272;0.209496087;1.705970504
52;5.022636265;0.152336311;1.852087835
53;5.980660544;0.366695126;1.970373794
54;5.980660544;0.213923571;2.111450974
55;5.980660544;0.669139992;2.273546527
56;5.980660544;0.703495076;2.459607622
57;5.980660544;0.922160923;2.532567574
58;5.980660544;0.514818111;2.644836405
59;5.980660544;0.293366129;2.843307691
60;5.434180393;0.216951543;2.754442944
61;5.434180393;0.911035779;2.852634244
62;5.434180393;1.067211767;2.9597789
63;5.434180393;1.185158024;3.044914347
64;5.358217377;0.774362236;2.993672385
65;5.80963747;0.762364348;3.208820386
66;5.358217377;1.294941802;3.342841968
67;5.358217377;0.882695006;3.351600982
68;5.358217377;1.060691291;3.355737937
69;6.043978219;0.815063622;3.459162288
70;5.771909266;1.370253728;3.630537119
71;5.771909266;1.225446767;3.496497492
72;5.771909266;1.124272017;3.484839549
73;5.771909266;0.909092554;3.64405994
74;6.498329044;1.442709352;3.694885866
75;5.615711249;1.442709352;3.706703709
76;6.894523239;0.962589141;3.735794991
77;6.894523239;1.806864389;3.887339933
78;6.894523239;1.734319091;4.011969537
79;6.530424174;0.928275733;4.145519626
80;6.759169341;2.177808281;4.388653827
81;6.759169341;1.659073644;4.440743109
82;7.04996636;1.659073644;4.581124664
83;7.04996636;2.352188908;4.734233816
84;7.212334193;2.527114492;4.96140615
85;7.212334193;2.280338943;5.097145308
86;7.212334193;2.05387274;5.318750557
87;7.192751762;3.381548365;5.468059935
88;7.192751762;3.405205921;5.596685938
89;7.593393367;3.831463711;5.794587519
90;7.93347195;3.24774292;5.843208748
91;7.93347195;3.24774292;5.746297353
92;7.93347195;3.304691778;5.977891312
93;8.040563171;3.688667506;6.109453492
94;7.93347195;3.837849147;6.14197958
95;7.93347195;4.741506902;6.204153888
96;8.176686359;3.207630023;6.265154402
97;8.176686359;3.941219266;6.298034053
98;8.176686359;3.75165378;6.371467631
99;8.176686359;4.267787227;6.47352885
100;8.176686359;4.284177128;6.473905767
101;8.401157742;3.864201275;6.476291753
102;8.33973412;4.072291938;6.446830907
103;8.395787187;4.133185475;6.530063174
104;8.395787187;4.777138142;6.585059971
105;8.176686359;4.779521697;6.67172215
106;8.176686359;4.695595739;6.834877128
107;8.176686359;4.786649476;6.734947003
108;8.176686359;5.277711661;6.851445796
