Generation;Max;Min;Mean
0;4.18E-04;5.67E-205;4.48E-06
1;0.002603151;1.85E-133;3.11E-05
2;0.002603151;1.55E-94;7.28E-05
3;0.1595826;1.91E-62;0.001753145
4;0.1595826;1.05E-54;0.002242613
5;0.1595826;2.46E-20;0.0041145
6;0.1595826;4.97E-14;0.004450541
7;0.1595826;4.97E-14;0.004653657
8;0.1595826;3.03E-12;0.005637579
9;0.1595826;7.09E-10;0.007353612
10;0.871773639;1.39E-07;0.017072038
11;0.871773639;1.23E-09;0.017917276
12;0.871773639;1.56E-07;0.020819382
13;0.871773639;5.66E-06;0.025043787
14;0.871773639;1.07E-04;0.037227645
15;0.871773639;7.93E-10;0.039046581
16;0.871773639;2.60E-04;0.041064994
17;0.922950133;1.35E-05;0.054791418
18;0.922950133;0.001757639;0.058904802
19;0.922950133;1.49E-05;0.073128337
20;0.922950133;8.62E-05;0.083222509
21;0.922950133;8.70E-04;0.089801745
22;0.922950133;1.54E-04;0.09822591
23;0.922950133;4.95E-08;0.103502625
24;0.922950133;1.39E-05;0.110908999
25;0.922950133;1.63E-16;0.119493326
26;0.922950133;0.001637373;0.127792132
27;0.922950133;9.41E-04;0.136032239
28;0.922950133;0.005051167;0.14925676
29;0.922950133;0.008815775;0.15216211
30;0.922950133;6.01E-04;0.161626962
31;0.922950133;0.008815775;0.163757076
32;0.922950133;0.002804494;0.168336273
33;0.922950133;0.001191426;0.176301689
34;0.922950133;0.002607126;0.181902977
35;0.922950133;1.20E-09;0.186026307
36;0.922950133;0.008284635;0.189633245
37;0.922950133;2.44E-04;0.19891068
38;0.922950133;1.15E-05;0.19172401
39;0.922950133;0.0024423;0.197961374
40;0.922950133;0.002306998;0.210405938
41;0.922950133;0.002575619;0.209269595
42;0.922950133;8.54E-04;0.231342827
43;0.922950133;5.89E-04;0.236351744
44;0.922950133;8.37E-04;0.243748479
45;0.922950133;8.37E-04;0.237737987
46;0.922950133;0.003006827;0.263119984
47;1.288438453;7.76E-06;0.271234069
48;1.288438453;4.60E-05;0.272217376
49;1.288438453;4.18E-05;0.277971274
50;1.288438453;4.18E-05;0.284498762
51;1.288438453;0.002878687;0.287932983
52;1.288438453;0.002878687;0.289338279
53;1.288438453;0.006471215;0.300890451
54;1.288438453;0.006227269;0.308418255
55;1.288438453;0.001347219;0.308074184
56;1.288438453;0.001347219;0.309195825
57;1.288438453;0.001098133;0.307533038
58;1.288438453;0.002016785;0.304042855
59;1.288438453;0.004644335;0.300497212
60;1.288438453;4.51E-04;0.310203427
61;1.288438453;0.010941535;0.326315523
62;1.288438453;0.004221784;0.328215109
63;1.288438453;0.002453644;0.332619462
64;1.288438453;0.001110812;0.340559045
65;1.288438453;0.001110812;0.352192609
66;1.288438453;0.001110812;0.359834669
67;1.288438453;0.005782209;0.364532095
68;1.288438453;0.005943667;0.37042693
69;1.288438453;0.008119951;0.381103438
70;1.288438453;0.008119951;0.377832516
71;1.288438453;5.55E-04;0.37219809
72;1.288438453;0.007700979;0.377990652
73;1.288438453;0.009626148;0.38889726
74;1.288438453;0.010513433;0.378281392
75;1.288438453;0.004573881;0.380495161
76;1.288438453;0.014155055;0.382961071
77;1.288438453;0.010493749;0.397020535
78;1.288438453;0.010493749;0.40253912
79;1.288438453;0.004955879;0.419330349
80;1.288438453;0.004471644;0.414755694
81;1.288438453;0.002617709;0.412478653
82;1.288438453;0.011475798;0.409087532
83;1.909634696;0.021814245;0.434783978
84;1.909634696;0.023646899;0.42903385
85;1.909634696;0.022001809;0.447150232
86;1.909634696;0.015491163;0.464666781
87;1.909634696;0.019568424;0.476264039
88;1.909634696;0.002620835;0.4763452
89;1.909634696;0.002716442;0.485735975
90;1.909634696;2.27E-04;0.498938722
91;3.279731122;0.10751666;0.573293905
92;3.279731122;0.03469448;0.564158495
93;3.279731122;0.033575531;0.560257762
94;3.279731122;0.033575531;0.578809433
95;3.279731122;0.064422721;0.582427701
96;3.279731122;0.089487579;0.595848004
97;3.279731122;0.004569606;0.61044661
98;3.279731122;0.051144305;0.640168034
99;3.279731122;9.09E-05;0.622860118
100;3.279731122;0.006228368;0.629996242
101;3.279731122;0.016022365;0.644558153
102;3.279731122;0.016022365;0.665159426
103;3.279731122;0.040202013;0.67995615
104;3.279731122;0.063490039;0.713645322
105;3.279731122;0.065145596;0.761266603
106;3.279731122;0.017076287;0.760084651
107;3.279731122;0.023014082;0.783051332
108;3.279731122;0.023014082;0.772726238
109;3.279731122;0.023014082;0.811663479
110;3.279731122;0.042288525;0.824737072
111;3.279731122;0.032799424;0.854434046
112;3.279731122;0.069526839;0.915752399
113;3.279731122;0.052808735;0.914426087
114;3.279731122;0.033923739;0.926857807
115;3.279731122;0.076369311;0.947498846
116;3.279731122;0.016301236;0.985850034
117;3.279731122;0.043261629;0.984392979
118;3.279731122;0.043261629;1.000211156
119;3.279731122;0.028931296;1.00410417
120;3.279731122;0.089981269;1.007453931
121;3.279731122;0.024330231;1.040549332
122;3.279731122;0.089981269;1.070539508
123;3.279731122;0.043230957;1.094432642
124;3.279731122;0.060694898;1.124660038
125;3.279731122;0.033984375;1.135610268
126;3.279731122;0.132008503;1.193189869
127;3.279731122;0.109254229;1.180750475
128;3.279731122;0.048784971;1.170063813
129;3.279731122;0.060554855;1.18661683
130;3.279731122;0.060554855;1.213217637
131;3.279731122;0.060554855;1.210286849
132;3.279731122;0.063495951;1.24646309
133;3.279731122;0.038041876;1.213869157
134;3.279731122;0.053073053;1.228508278
135;3.279731122;0.053073053;1.23860465
136;3.279731122;0.075380482;1.253246034
137;3.279731122;0.106319176;1.266625129
138;3.279731122;0.106319176;1.313539462
139;3.279731122;0.06382677;1.359910282
140;3.279731122;0.155787151;1.374825836
141;3.279731122;0.019503056;1.3884519
142;3.279731122;0.292006375;1.491895845
143;3.279731122;0.299427325;1.554139157
144;3.279731122;0.027200008;1.573311308
145;3.279731122;0.108230039;1.591143055
146;3.279731122;0.092796157;1.625390709
147;3.279731122;0.006020118;1.626437024
148;3.279731122;0.048423472;1.654620174
149;3.279731122;0.046557014;1.660355062
150;3.331479347;0.255605831;1.733635924
151;3.437613301;0.338329064;1.778119567
152;3.437613301;0.651002675;1.850916101
153;3.437613301;0.090302992;1.814657831
154;3.437613301;0.388500703;1.885185888
155;3.437613301;0.215075138;1.846668926
156;5.427276792;0.354625547;1.915409665
157;5.427276792;0.210801342;1.952201263
158;6.046237224;0.429852881;2.053766186
159;6.046237224;0.020773826;2.183740754
160;6.046237224;0.729543075;2.29291404
161;6.046237224;0.770795327;2.380196166
162;6.046237224;0.417144901;2.397911356
163;6.046237224;0.196603325;2.428354993
164;6.046237224;1.120529179;2.603719119
165;6.046237224;1.288618628;2.800171645
166;6.046237224;0.389623407;2.871452852
167;6.046237224;1.720384704;2.972823323
168;6.046237224;0.835098521;3.044734354
169;6.046237224;1.265433626;3.105278361
170;6.046237224;0.984255775;3.171907239
171;6.046237224;0.948803631;3.292055962
172;6.046237224;0.948803631;3.332989418
173;6.046237224;1.623437606;3.387975175
174;6.046237224;1.91468954;3.527762969
175;6.046237224;0.73428365;3.540323644
176;6.046237224;2.297455204;3.676184599
177;6.810792739;1.795098597;3.748826921
178;6.810792739;2.236663742;3.833117064
179;6.810792739;1.944871018;3.897421042
180;6.810792739;0.1632506;3.913387464
181;6.810792739;1.410392091;3.938204736
182;6.810792739;2.859819136;4.076939573
183;6.810792739;1.714419475;4.088061922
184;6.810792739;2.701777664;4.254868855
185;6.810792739;2.496270701;4.299693211
186;6.810792739;2.571071554;4.370463263
187;6.810792739;3.172272678;4.509546485
188;6.810792739;2.948427638;4.590581626
189;6.810792739;3.173218529;4.704666928
190;6.810792739;2.657115998;4.683089217
191;6.810792739;2.618422747;4.841784402
192;6.810792739;2.118546069;4.843470964
193;6.810792739;3.484405003;4.890871754
194;7.361190684;3.072374623;4.95763014
195;7.361190684;3.044004088;5.042207526
196;7.361190684;3.697010683;5.131507209
197;7.361190684;3.213623119;5.193481065
198;7.361190684;2.93406367;5.234575598
199;7.361190684;3.122969224;5.299682259
200;7.361190684;2.283222228;5.334595678
201;7.361190684;2.902839197;5.361893716
202;7.361190684;2.915682027;5.391997671
203;7.361190684;2.915682027;5.41261941
204;7.361190684;3.274852706;5.440237271
205;7.361190684;2.091661108;5.421214333
206;7.361190684;2.498842574;5.500290063
207;7.361190684;3.738187419;5.573486115
208;7.361190684;3.860372277;5.636941824
209;7.361190684;3.244604519;5.675845921
210;7.361190684;3.686953823;5.745731446
211;7.537366256;2.342450618;5.742800451
212;7.552669845;4.405597392;5.900825286
213;7.552669845;3.745514572;5.952220515
214;8.076360293;3.974356262;6.010649694
215;8.076360293;2.575868846;6.080576335
216;8.076360293;3.203315161;6.069450502
217;8.076360293;4.170660641;6.154330546
218;8.076360293;4.822227052;6.201846767
219;8.076360293;4.822227052;6.323375838
220;8.076360293;3.979046995;6.319976805
221;8.076360293;4.464737881;6.387175392
222;8.076360293;4.229066118;6.387609215
223;8.076360293;4.680454198;6.499530938
224;8.076360293;3.493183225;6.512898012
225;8.180937563;5.16448577;6.648376991
226;8.180937563;4.831631626;6.668494625
227;8.180937563;4.849154824;6.72140257
228;8.180937563;4.78559175;6.759066039
229;8.384767089;4.734781444;6.805538787
230;8.384767089;4.897130313;6.852299808
231;8.384767089;4.030187237;6.879036984
232;8.384767089;5.072483107;6.888796559
233;8.384767089;5.146267273;6.877937134
234;8.384767089;5.237571246;6.929002662
235;8.384767089;5.237571246;7.001014977
236;8.384767089;4.885336182;6.98447726
237;8.560695071;2.906554926;6.943226498
238;8.560695071;3.851218764;6.947106493
239;8.560695071;3.851218764;7.017871403
240;8.560695071;5.280980867;7.100164701
241;8.560695071;4.985640445;7.147521339
242;8.560695071;5.352756586;7.233036216
243;8.560695071;5.900130867;7.291921978
244;8.560695071;3.878066011;7.297017708
245;8.808337166;5.823553261;7.384090269
246;8.808337166;5.823553261;7.44744433
247;8.808337166;5.823553261;7.442818759
248;8.808337166;4.304989981;7.476298552
249;8.808337166;5.845998865;7.551841227
250;8.808337166;6.457337004;7.561276005
251;8.808337166;5.523819347;7.61621049
252;8.808337166;4.784711699;7.602372825
253;8.808337166;6.3031767;7.707645346
254;8.808337166;6.3031767;7.715377293
255;8.808337166;6.129033109;7.721272479
256;8.808337166;4.65682024;7.642907318
257;8.808337166;4.787079535;7.646859586
258;8.808337166;5.183618392;7.696037003
259;8.808337166;5.526100385;7.760858532
260;8.808337166;5.526100385;7.804380258
261;8.808337166;5.526100385;7.822967201
262;8.808337166;5.938730925;7.862587433
263;8.808337166;6.115949339;7.907258045
264;8.808713787;7.050828277;7.949334266
265;8.808713787;6.023937097;7.926092439
266;9.157396446;6.266564765;7.966171155
267;9.157396446;6.266564765;7.950764829
268;9.157396446;5.304129473;7.960313308
269;9.157396446;6.266564765;8.014172033
270;9.157396446;6.624674017;8.038737349
271;9.157396446;6.830443505;8.045695464
272;9.157396446;6.883023681;8.067712784
273;9.157396446;6.795896824;8.060690736
274;9.157396446;4.830687805;8.025195271
275;9.157396446;5.939457545;8.047415885
276;9.157396446;6.428647073;8.045314724
277;9.157396446;6.329253581;8.015942861
278;9.157396446;6.329253581;8.023419133
279;9.157396446;6.367067894;8.032136108
280;9.157396446;5.27148945;7.988685793
281;9.157396446;6.376014497;8.082452359
282;9.157396446;6.875379848;8.121106896
283;9.157396446;5.74180575;8.110285095
284;9.157396446;5.320361919;8.073519642
285;9.157396446;6.291203884;8.118279295
286;9.157396446;6.319898156;8.142029991
287;9.157396446;6.101838017;8.115158956
288;9.157396446;5.128075732;8.038283707
289;9.157396446;6.238780847;8.065154693
290;9.157396446;4.865000526;8.021395882
291;9.157396446;5.836228124;8.118472105
292;9.157396446;5.836228124;8.109691929
293;9.157396446;6.759794264;8.161525607
294;9.157396446;6.775682087;8.1788532
295;9.157396446;6.839187385;8.209585661
296;9.157396446;4.509409563;8.121971519
297;9.157396446;5.216874089;8.16835498
298;9.157396446;4.811935493;8.149904185
299;9.157396446;6.891262817;8.235483628
300;9.157396446;5.254072379;8.251053876
301;9.157396446;6.461930749;8.270173635
302;9.157396446;6.461930749;8.281048653
303;9.157396446;5.85721855;8.285177717
304;9.157396446;6.455810777;8.310073852
305;9.157396446;7.037470474;8.332212659
306;9.157396446;6.466080417;8.312335226
307;9.157396446;6.918346246;8.330921892
308;9.157396446;7.181180408;8.332515898
309;9.157396446;7.388665789;8.330962504
